student_id,year,semester,institution,course_number,credits,grade,course_description,department,course_title,record_source
4228786,2019,FALL,utexas,PHY103M,1,A,"Two laboratory hours a week for one semester. Only one of the following may be counted: Physics 101L, 102M, 103M, 105M, 117M. Prerequisite: Credit with a grade of at least C- or registration for Physics 303K.",PHY,PHY103M,raw_cleaned
4228786,2019,SPRING,utexas,HIS315K,3,A,Survey of United States history from the colonial period through the Civil War.,HIS,HIS315K,raw_cleaned
4228786,2019,SPRING,utexas,M427J,4,B,"Differential equations, matrices, eigenvalues, and engineering applications.",M,Differential Equations with Linear Algebra,raw_cleaned
4228786,2019,SPRING,utexas,PHY103M,1,A,"Two laboratory hours a week for one semester. Only one of the following may be counted: Physics 101L, 102M, 103M, 105M, 117M. Prerequisite: Credit with a grade of at least C- or registration for Physics 303K.",PHY,PHY103M,raw_cleaned
4228786,2019,SPRING,utexas,PHY303K,3,A,"A general survey of physics; primarily laws of motion, heat, and wave phenomena.",PHY,PHY303K,raw_cleaned
4228786,2020,FALL,utexas,EM319,3,A,"Stress, strain, deformation, torsion, and failure concepts for engineering materials and structures.",EM,Mechanics of Solids,raw_cleaned
4228786,2020,FALL,utexas,ME330,3,CR,"Fluid properties, conservation laws, internal and external flow, and engineering fluid systems.",ME,Fluid Mechanics,raw_cleaned
4228786,2020,FALL,utexas,ME334,3,A,"Fundamental aspects of the structure, properties, and behavior of engineering materials.",ME,Materials Engineering,raw_cleaned
4228786,2020,FALL,utexas,ME335,3,A-,"Fundamentals of probability, distribution theory, data analysis and statistics, interval estimation, hypothesis testing, and statistical quality control.",ME,Engineering Statistics,raw_cleaned
4228786,2020,SPRING,utexas,EM306,3,A,"Forces, moments, equilibrium, and engineering analysis of rigid bodies.",EM,Statics,raw_cleaned
4228786,2020,SPRING,utexas,M427L,4,A-,Multivariable methods and mathematical tools used in applied engineering analysis.,M,Advanced Calculus for Applications,raw_cleaned
4228786,2020,SPRING,utexas,ME316T,3,CR,"Properties, heat and work, the first and second laws of thermodynamics, thermodynamic processes, and introduction to ideal power cycles.",ME,Thermodynamics,raw_cleaned
4228786,2020,SPRING,utexas,ME318M,3,A,"Applied numerical analysis, programming of computational algorithms using mathematical software, and applications of computational methods to mechanical engineering problems.",ME,Programming and Engineering Computational Methods,raw_cleaned
4228786,2021,FALL,utexas,ACC310F,3,A,"An introduction to financial and managerial accounting, with emphasis on the content, interpretation, and uses of accounting reports. Discussion of the determination and reporting of net income and financial position, and the theories underlying business financial statements; consideration of managerial accounting topics designed to extend the student's knowledge to the planning and controlling of the operations of the firm.",ACC,ACC310F,raw_cleaned
4228786,2021,FALL,utexas,IB320F,3,A,"Restricted to non-McCombs School of Business majors. Fundamentals of international trade and the international economy; international dimensions of several functional areas of business, including management, marketing, finance, and human resource management; theoretical, institutional, and functional foundations of international business. Three lecture hours a week for one semester.",IB,IB320F,raw_cleaned
4228786,2021,FALL,utexas,ME130L,1,A,"Experimental design concepts, uncertainty analysis, and systems analysis as applied to thermodynamics, fluid mechanics, and heat transfer systems.",ME,Experimental Fluid Mechanics,raw_cleaned
