student_id,year,semester,institution,course_number,credits,grade,course_description
4227987,2019,Spring,utexas,CH302,3,A,"Development and application of concepts, theories, and laws underlying chemistry"
4227987,2019,Fall,utexas,M427J,4,B-,"Ordinary differential equations, introduction to vector spaces, linear operators and eigenvalues, systems of linear differential equations, introduction to partial differential equations and Fourier series"
4227987,2019,Fall,utexas,PHY303K,3,A,"A general survey of physics; primarily laws of motion, heat, and wave phenomena"
4228786,2019,Fall,utexas,PHY103M,1,A,Participate in an introductory mechanics laboratory
4228786,2019,Fall,utexas,ME333T,3,A,"Professional communication skills for engineers, with emphasis on research, writing, and oral presentation on topics of social and technical significance in engineering"
4228786,2020,Spring,utexas,M427L,4,A-,"Matrices, elements of vector analysis and calculus of functions of several variables, including gradient, divergence, and curl of a vector field, multiple integrals and chain rules, length and area, line and surface integrals, Green's theorems in the plane and space, and, if time permits, complex analysis"
4228786,2020,Spring,utexas,ME316T,3,CR,"Properties, heat and work, first and second laws, thermodynamic processes, introduction to ideal power cycles"
4228786,2020,Spring,utexas,ME318M,3,A,"An investigation of applied numerical analysis, programming of computational algorithms using mathematical software, and applications of computational methods to the solution of mechanical engineering problems"
4228786,2020,Spring,utexas,EM306,3,A,"Vector algebra, force systems, free-body diagrams; engineering applications of equilibrium, including frames, friction, distributed loads; centroids, moments of inertia"
4228786,2020,Fall,utexas,EM319,3,A,Internal forces and deformations in solids; stress and strain in elastic and plastic solids; application to simple engineering problems
4228786,2020,Fall,utexas,ME330,3,CR,"Fluid properties, statics, conservation laws, inviscid and viscous incompressible flow, flow in confined streams and around objects"
4228786,2020,Fall,utexas,ME335,3,A-,"Fundamentals of probability, distribution theory, data analysis and statistics, interval estimation, hypothesis testing, and statistical quality control"
4228786,2020,Fall,utexas,ME334,3,A,"Fundamental aspects of the structure, properties, and behavior of engineering materials"
4228786,2021,Spring,utexas,ME339,3,CR,Steady and transient heat conduction; forced and natural convection; radiation; introduction to heat exchangers and applications
4228786,2021,Spring,utexas,ME338,3,B,"Analysis for the design and manufacture of basic mechanical elements, and their role in the design of machines; application of finite element modeling"
